"","DEM","REP","UNA"
"ALL",3056273,2588313,2998436
"**race**",,,
"ASIAN",40265,21013,66037
"BLACK or AFRICAN AMERICAN",1395607,44553,360318
"AMERICAN INDIAN or ALASKA NATIVE",28854,13008,21343
"TWO or MORE RACES",23294,5901,22478
"OTHER",98025,40870,118106
"NATIVE HAWAIIAN or PACIFIC ISLANDER",179,187,238
"UNDESIGNATED",182801,142731,375343
"WHITE",1287248,2320048,2034573
"**ethnicity**", , , 
"HISPANIC or LATINO",116793,42913,127426
"NOT HISPANIC or NOT LATINO",2195377,1972003,1983974
"UNDESIGNATED",744103,573397,887036
"**age**",,,
"LESS 30",545231,392085,805184
"BETWEEN 30 & 65",1552793,1365954,1620619
"MORE 65",958249,830274,572633
"**sex**", , , 
"FEMALE",1735606,1218098,1365128
"MALE",1176395,1238367,1319685
"**count total**", , , 
"TOTAL", , ,8699506
