"","DEM","REP","UNA"
"ALL",155328,30436,100249
"**race**",,,
"ASIAN",4313,709,4661
"BLACK or AFRICAN AMERICAN",73772,1633,18157
"AMERICAN INDIAN or ALASKA NATIVE",383,72,281
"TWO or MORE RACES",2063,192,1529
"OTHER",4550,805,3982
"NATIVE HAWAIIAN or PACIFIC ISLANDER",13,3,10
"UNDESIGNATED",11044,1867,18668
"WHITE",59190,25155,52961
"**ethnicity**", , , 
"HISPANIC or LATINO",6274,917,4920
"NOT HISPANIC or NOT LATINO",102833,21824,57983
"UNDESIGNATED",46221,7695,37346
"**age**",,,
"LESS 30",34829,5097,30560
"BETWEEN 30 & 65",84327,15590,55623
"MORE 65",36172,9749,14066
"**sex**", , , 
"FEMALE",87992,14137,41627
"MALE",58362,14650,42905
"**count total**", , , 
"TOTAL", , ,287511
