"","DEM","REP","UNA"
"ALL",392472,192737,331052
"**race**",,,
"ASIAN",7239,3787,11818
"BLACK or AFRICAN AMERICAN",216766,6478,61503
"AMERICAN INDIAN or ALASKA NATIVE",1068,386,995
"TWO or MORE RACES",3530,545,2909
"OTHER",18440,5193,17771
"NATIVE HAWAIIAN or PACIFIC ISLANDER",23,9,21
"UNDESIGNATED",24319,9092,45119
"WHITE",121087,167247,190916
"**ethnicity**", , , 
"HISPANIC or LATINO",21802,5294,19063
"NOT HISPANIC or NOT LATINO",274531,151960,218402
"UNDESIGNATED",96139,35483,93587
"**age**",,,
"LESS 30",82519,31182,92836
"BETWEEN 30 & 65",229097,108337,193184
"MORE 65",80856,53218,45032
"**sex**", , , 
"FEMALE",226733,90737,146371
"MALE",148599,94115,148804
"**count total**", , , 
"TOTAL", , ,923107
