"","DEM","REP","UNA"
"ALL",36683,22631,20612
"**race**",,,
"ASIAN",131,75,139
"BLACK or AFRICAN AMERICAN",25866,689,4922
"AMERICAN INDIAN or ALASKA NATIVE",221,43,123
"TWO or MORE RACES",196,29,156
"OTHER",713,275,759
"NATIVE HAWAIIAN or PACIFIC ISLANDER",3,0,3
"UNDESIGNATED",1356,840,2525
"WHITE",8197,20680,11985
"**ethnicity**", , , 
"HISPANIC or LATINO",672,277,798
"NOT HISPANIC or NOT LATINO",29008,18946,14644
"UNDESIGNATED",7003,3408,5170
"**age**",,,
"LESS 30",5632,3334,6059
"BETWEEN 30 & 65",18598,11449,10305
"MORE 65",12453,7848,4248
"**sex**", , , 
"FEMALE",20631,10933,9500
"MALE",14937,10844,8937
"**count total**", , , 
"TOTAL", , ,80257
