"","DEM","REP","UNA"
"ALL",19723,56591,32859
"**race**",,,
"ASIAN",178,182,352
"BLACK or AFRICAN AMERICAN",5209,288,1606
"AMERICAN INDIAN or ALASKA NATIVE",59,147,150
"TWO or MORE RACES",100,55,119
"OTHER",1194,624,1406
"NATIVE HAWAIIAN or PACIFIC ISLANDER",3,4,1
"UNDESIGNATED",1356,2639,2988
"WHITE",11624,52652,26237
"**ethnicity**", , , 
"HISPANIC or LATINO",1430,645,1624
"NOT HISPANIC or NOT LATINO",12866,40566,19762
"UNDESIGNATED",5427,15380,11473
"**age**",,,
"LESS 30",3480,8849,8409
"BETWEEN 30 & 65",8708,28672,17816
"MORE 65",7535,19070,6634
"**sex**", , , 
"FEMALE",10922,27034,15846
"MALE",8022,26929,14605
"UNDEFINED",779,2628,2408
"**count total**", , , 
"TOTAL", , ,109831
