"","DEM","REP","UNA"
"ALL",47125,14496,25658
"**race**",,,
"ASIAN",136,61,162
"BLACK or AFRICAN AMERICAN",19737,487,4005
"AMERICAN INDIAN or ALASKA NATIVE",15475,5140,8384
"TWO or MORE RACES",273,65,253
"OTHER",1152,341,1451
"NATIVE HAWAIIAN or PACIFIC ISLANDER",2,5,2
"UNDESIGNATED",1440,826,2943
"WHITE",8910,7571,8458
"**ethnicity**", , , 
"HISPANIC or LATINO",975,237,976
"NOT HISPANIC or NOT LATINO",43157,12739,22243
"UNDESIGNATED",2993,1520,2439
"**age**",,,
"LESS 30",7265,3006,8624
"BETWEEN 30 & 65",23454,7854,12866
"MORE 65",16406,3636,4168
"**sex**", , , 
"FEMALE",26587,6822,12980
"MALE",19841,7115,11386
"**count total**", , , 
"TOTAL", , ,87536
