"","DEM","REP","UNA"
"ALL",12707,5031,7536
"**race**",,,
"ASIAN",54,34,75
"BLACK or AFRICAN AMERICAN",8094,238,1404
"AMERICAN INDIAN or ALASKA NATIVE",553,507,745
"TWO or MORE RACES",40,16,46
"OTHER",76,50,109
"NATIVE HAWAIIAN or PACIFIC ISLANDER",0,4,4
"UNDESIGNATED",440,392,838
"WHITE",3450,3790,4315
"**ethnicity**", , , 
"HISPANIC or LATINO",95,37,94
"NOT HISPANIC or NOT LATINO",9170,3379,4972
"UNDESIGNATED",3442,1615,2470
"**age**",,,
"LESS 30",1859,846,1950
"BETWEEN 30 & 65",6019,2622,3865
"MORE 65",4829,1563,1721
"**sex**", , , 
"FEMALE",7254,2327,3584
"MALE",5052,2336,3228
"**count total**", , , 
"TOTAL", , ,25357
